problemName,vehicleFileID,numUAVs,UAVSpeedType,numTrucks,numCustomers,timestamp,ofv,totalTime,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20191230T145749863540,101,4,maximum,-1,10, 2019-12-30 17:36:39,6001.438418,0.683502,2,8,180,205.050252
20191230T145749863540,102,1,maximum,-1,10, 2019-12-30 17:36:40,5734.082956,0.244451,4,6,859.935114,1019.833121
20191230T145749863540,102,2,maximum,-1,10, 2019-12-30 17:36:41,5347.358353,0.321688,5,5,627.049666,539.569076
20191230T145749863540,102,3,maximum,-1,10, 2019-12-30 17:36:42,5271.444988,0.315951,5,5,542.005841,557.691069
20191230T145749863540,102,4,maximum,-1,10, 2019-12-30 17:36:42,5271.444988,0.370298,5,5,542.005841,557.691069
20191230T145749863540,103,1,maximum,-1,10, 2019-12-30 17:36:43,5918.173282,0.072574,3,7,270,594.393151
20191230T145749863540,103,2,maximum,-1,10, 2019-12-30 17:36:44,5918.173282,0.106046,3,7,270,435.062407
20191230T145749863540,103,3,maximum,-1,10, 2019-12-30 17:36:44,5918.173282,0.115821,3,7,270,435.062407
20191230T145749863540,103,4,maximum,-1,10, 2019-12-30 17:36:45,5918.173282,0.135684,3,7,270,435.062407
20191230T145749863540,104,1,maximum,-1,10, 2019-12-30 17:36:45,6236.400275,0.064111,1,9,177.5037,30
20191230T145749863540,104,2,maximum,-1,10, 2019-12-30 17:36:46,6236.400275,0.089053,1,9,177.5037,30
20191230T145749863540,104,3,maximum,-1,10, 2019-12-30 17:36:46,6236.400275,0.121579,1,9,177.5037,30
20191230T145749863540,104,4,maximum,-1,10, 2019-12-30 17:36:47,6236.400275,0.127427,1,9,177.5037,30
20191230T145854314056,101,1,maximum,-1,10, 2019-12-30 17:36:47,7438.715031,0.61329,2,8,534.656324,281.392123
20191230T145854314056,101,2,maximum,-1,10, 2019-12-30 17:36:48,7079.913028,0.315912,3,7,634.801814,180.150056
20191230T145854314056,101,3,maximum,-1,10, 2019-12-30 17:36:49,7079.762972,0.390504,4,6,905.143552,513.367716
20191230T145854314056,101,4,maximum,-1,10, 2019-12-30 17:36:50,7079.762972,0.444893,4,6,905.143552,513.367716
20191230T145854314056,102,1,maximum,-1,10, 2019-12-30 17:36:51,6319.852781,0.317633,4,6,610.88143,779.564365
20191230T145854314056,102,2,maximum,-1,10, 2019-12-30 17:36:51,6211.609443,0.194263,3,7,240,709.95003
20191230T145854314056,102,3,maximum,-1,10, 2019-12-30 17:36:52,6211.609443,0.216094,3,7,240,709.95003
20191230T145854314056,102,4,maximum,-1,10, 2019-12-30 17:36:53,6211.609443,0.247561,3,7,240,709.95003
20191230T145854314056,103,1,maximum,-1,10, 2019-12-30 17:36:53,7512.302355,0.084992,1,9,90,232.600066
20191230T145854314056,103,2,maximum,-1,10, 2019-12-30 17:36:54,7512.302355,0.111948,1,9,90,232.600066
20191230T145854314056,103,3,maximum,-1,10, 2019-12-30 17:36:54,7512.302355,0.115973,1,9,90,232.600066
20191230T145854314056,103,4,maximum,-1,10, 2019-12-30 17:36:55,7512.302355,0.137007,1,9,90,232.600066
20191230T145854314056,104,1,maximum,-1,10, 2019-12-30 17:36:55,7522.519375,0.029706,0,10,0,0
20191230T145854314056,104,2,maximum,-1,10, 2019-12-30 17:36:56,7522.519375,0.048671,0,10,0,0
20191230T145854314056,104,3,maximum,-1,10, 2019-12-30 17:36:56,7522.519375,0.06751,0,10,0,0
20191230T145854314056,104,4,maximum,-1,10, 2019-12-30 17:36:56,7522.519375,0.082797,0,10,0,0
20191230T145916460302,101,1,maximum,-1,10, 2019-12-30 17:36:57,5080.584038,0.661001,2,8,180,350.558491
